country_iso,car_maker_name,car_segment_name,car_type_name,energy,body_style,code_age,age_years,log_total_vehicles
TR,FIAT,Scudo,Scudo,ESS,UTILITAIRE,11 years and older,12.0,0.6944175116233934
TR,BMW,Serie 3,(E46) Berline,ESS,BERLINE,11 years and older,12.0,7.354925955823395
TR,DACIA,Logan,Logan II,LPG,BERLINE,1 year old,1.0,4.490001974373109
TR,DS,DS 3,DS 3 Crossback,ESS,SUV,3 to 5 years old,4.0,9.069963187737732
TR,MERCEDES,Classe A,A 250,ESS,BERLINE,1 year old,1.0,3.7077753703498773
TR,SUZUKI,Vitara,Vitara Allgrip,ESS,4X4,6 to 10 years old,8.0,6.394631212231118
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,4.177150276790512
TR,HONDA,Jazz,Jazz Hybrid,HYB-ESS,BERLINE,3 to 5 years old,4.0,4.701603167548315
TR,TOYOTA,Hilux,Hilux,DIES,PICKUP,6 to 10 years old,8.0,4.8285409061622735
TR,RENAULT,Laguna,Laguna III GT,DIES,BERLINE,6 to 10 years old,8.0,7.813154901849426
TR,SUBARU,BRZ,BRZ Limited (AT),ESS,COUPE,6 to 10 years old,8.0,7.812709601734259
TR,KIA,Rio,Rio,ESS,BERLINE,11 years and older,12.0,4.012996170415197
TR,FORD,Mondeo,Mondeo III,ESS,BERLINE,11 years and older,12.0,0.9408954573740284
TR,BMW,X3,X3 xDrive30i,ESS,SUV,Less than 1 year old,0.5,1.4150523495627942
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,1.3756899001012641
TR,LEXUS,RC,RC-F,ESS,COUPE,Less than 1 year old,0.5,1.8019341052941573
TR,MAZDA,6,6i Touring,ESS,BERLINE,6 to 10 years old,8.0,3.30673497560567
TR,INFINITI,M37,M37 Sport,ESS,BERLINE,11 years and older,12.0,1.397121644111746
TR,SEAT,Leon,Leon IV,ESS-MHEV,BERLINE,Less than 1 year old,0.5,6.812265467941267
TR,AUDI,A4,A4 Avant Quattro,DIES-MHEV,BREAK,3 to 5 years old,4.0,6.079494693157262
TR,NISSAN,Almera,Almera Tino,DIES,MONOSPACE,11 years and older,12.0,1.6257169205493058
TR,RENAULT,Clio,Clio IV,DIES,BERLINE,6 to 10 years old,8.0,6.891111053681095
TR,FORD,Fiesta,Fiesta VI ST,ESS,BERLINE,11 years and older,12.0,4.622736976916391
TR,VOLKSWAGEN,Golf,Golf VIII GTI Clubsport,ESS,BERLINE,3 to 5 years old,4.0,8.26126968444851
TR,OPEL,Grandland,Grandland,HYB-ESS,MONOSPACE,1 year old,1.0,7.168159609801368
TR,MERCEDES,Classe SL,SL 350,ESS,CABRIOLET,11 years and older,12.0,5.203576696445991
TR,VOLKSWAGEN,Caravelle,Caravelle 4Motion,DIES,UTILITAIRE,3 to 5 years old,4.0,7.579323530839373
TR,IVECO,Daily VI,35S17V,DIES,UTILITAIRE,2 years old,2.0,4.86240414861075
TR,SEAT,Leon,Leon IV,DIES,BERLINE,Less than 1 year old,0.5,6.349775607839225
TR,RENAULT,Captur,Captur II,LPG,SUV,3 to 5 years old,4.0,1.0967435934658218
TR,RENAULT,Megane,Megane IV Berline,ESS,BERLINE,2 years old,2.0,4.869184424824804
TR,RENAULT,Megane,Megane III Estate GT,ESS,BREAK,11 years and older,12.0,5.470070952854428
TR,MERCEDES,Classe E,E 350 CGI,ESS,BERLINE,11 years and older,12.0,2.672785622657077
TR,SEAT,Altea,Altea XL,DIES,MONOSPACE,6 to 10 years old,8.0,6.236690495155373
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,1.9559320878853441
TR,TESLA,Model 3,Model 3 Long Range,ELEC,BERLINE,2 years old,2.0,1.0983214305223208
TR,CITROEN,C4 SpaceTourer,C4 SpaceTourer,DIES,MONOSPACE,Less than 1 year old,0.5,3.4331126386947446
TR,TOYOTA,Corolla,Corolla,ESS,BERLINE,6 to 10 years old,8.0,4.916979768879855
TR,SEAT,Ibiza,Ibiza,ESS,BERLINE,3 to 5 years old,4.0,8.22599072558858
TR,SKODA,Kamiq,Kamiq,DIES,SUV,3 to 5 years old,4.0,6.975543150579418
TR,AUDI,Q3,Q3 Quattro,DIES,SUV,2 years old,2.0,2.252644071366119
TR,PEUGEOT,406,406 Coupé,ESS,COUPE,11 years and older,12.0,3.895120421627756
TR,SKODA,Enyaq,Enyaq iV 60,ELEC,SUV,Less than 1 year old,0.5,9.161721884404622
TR,BMW,X5,X5 xDrive45e,HR - ESS,SUV,1 year old,1.0,2.34233434257681
TR,OPEL,Zafira,Zafira C,ESS,MONOSPACE,11 years and older,12.0,8.422103207282243
TR,RENAULT,Megane,Megane II Estate,ESS,BREAK,3 to 5 years old,4.0,3.5911800749979834
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,2.9243266344576773
TR,DS,DS 7,DS 7,DIES,SUV,1 year old,1.0,9.525698108842569
TR,TESLA,Model S,Model S 90D,ELEC,BERLINE,6 to 10 years old,8.0,1.931623213234875
TR,HYUNDAI,Kona,Kona,ESS,SUV,2 years old,2.0,7.207706794970317
TR,MERCEDES,Classe SL,SL 55,ESS,CABRIOLET,11 years and older,12.0,5.17001839135428
TR,AUDI,A4,S4 Quattro,ESS,BERLINE,6 to 10 years old,8.0,6.230869307612363
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,2.067899110423511
TR,KIA,Rio,Rio,ESS,BERLINE,2 years old,2.0,5.373775580211171
TR,RENAULT,Scenic,Scenic II,DIES,MONOSPACE,11 years and older,12.0,9.386960630479896
TR,FORD,Focus,Focus III SW,ESS,BREAK,6 to 10 years old,8.0,6.922681113798527
TR,TOYOTA,Prius,Prius Plus Performance Package,HR - ESS,BERLINE,3 to 5 years old,4.0,7.298529500546179
TR,MITSUBISHI,Colt,Colt,ESS,BERLINE,11 years and older,12.0,5.479481474143833
TR,SKODA,Octavia,Octavia Scout,DIES,BREAK,6 to 10 years old,8.0,4.414650269338117
TR,FIAT,Stilo,Stilo,ESS,BERLINE,11 years and older,12.0,4.510521733997269
TR,NISSAN,Murano,Murano,DIES,SUV,11 years and older,12.0,8.285152639013928
TR,SUBARU,BRZ,BRZ,ESS,COUPE,3 to 5 years old,4.0,7.899640679329091
TR,RENAULT,Megane,Megane IV RS,ESS,BERLINE,2 years old,2.0,1.9276911587561572
TR,BMW,Serie 4,(G26) Gran Coupé,ESS-MHEV,COUPE,1 year old,1.0,6.080779076270311
TR,HONDA,Civic,Civic GX,CNG,BERLINE,11 years and older,12.0,5.108808214803513
TR,MITSUBISHI,Colt,Colt,DIES,BERLINE,11 years and older,12.0,2.6792581901974257
TR,NISSAN,Note,Note II,DIES,MONOSPACE,11 years and older,12.0,7.3251163706012505
TR,FIAT,500,500 C,ESS,CABRIOLET,3 to 5 years old,4.0,5.2328623945942185
TR,OPEL,Astra,Astra J,DIES,BERLINE,6 to 10 years old,8.0,6.158947846032097
TR,RENAULT,Kangoo,Kangoo III,ELEC,MONOSPACE,1 year old,1.0,7.008060760879494
TR,OPEL,Movano,Movano 3t500,DIES,UTILITAIRE,Less than 1 year old,0.5,1.3691404450783762
TR,FORD,Focus,Focus IV,DIES,BERLINE,2 years old,2.0,8.28775288423806
TR,AUDI,RS6,RS6 Avant,ESS,BREAK,2 years old,2.0,2.592372959076181
TR,OPEL,Corsa,Corsa C,DIES,BERLINE,11 years and older,12.0,6.165393588431144
TR,AUDI,A6,A6 Quattro,ESS,BERLINE,1 year old,1.0,4.02695677719089
TR,MERCEDES,Classe E,E 300,ESS,BERLINE,6 to 10 years old,8.0,8.280463931202723
TR,CITROEN,C5,C5,DIES,BERLINE,6 to 10 years old,8.0,1.9312690112130033
TR,CITROEN,DS 5,DS 5,DIES,BERLINE,6 to 10 years old,8.0,4.709175800972909
TR,VOLVO,XC60,XC60,HYB-ESS,SUV,1 year old,1.0,1.1024108556193148
TR,PEUGEOT,Partner,Partner II V.U,DIES,UTILITAIRE,2 years old,2.0,3.7620003025672455
TR,MERCEDES,GLS,GLS 400 4Matic,ESS,SUV,3 to 5 years old,4.0,1.5825257073860528
TR,DACIA,Logan,Logan MCV,ESS,BREAK,11 years and older,12.0,2.64718384058313
TR,VOLKSWAGEN,Polo,Polo V,DIES,BERLINE,6 to 10 years old,8.0,7.593174604675483
TR,PEUGEOT,508,508 RXH,HYB-DIES,BREAK,6 to 10 years old,8.0,8.594896892675276
TR,MINI,Countryman,Mini Cooper SD Countryman AWD,DIES,SUV,1 year old,1.0,1.9661037395422227
TR,MERCEDES,Classe GLK,GLK 220 CDI 4Matic,DIES,SUV,11 years and older,12.0,2.323756426541776
TR,RENAULT,Clio,Clio III RS Ange et Demon,ESS,BERLINE,11 years and older,12.0,9.363472868878729
TR,OPEL,Corsa,Corsa E GSI,ESS,BERLINE,1 year old,1.0,1.915809163127749
TR,VOLKSWAGEN,Passat,Passat Variant,DIES,BREAK,2 years old,2.0,1.9403759857756782
TR,TOYOTA,Hilux,Hilux,DIES,PICKUP,6 to 10 years old,8.0,7.021580529473571
TR,KIA,Sorento,Sorento 2WD,ESS,SUV,3 to 5 years old,4.0,3.2433041524346438
TR,LEXUS,IS,IS 200t RWD,ESS,BERLINE,6 to 10 years old,8.0,3.9818097290695444
TR,HYUNDAI,Kona,Kona Ultimate,ESS,SUV,2 years old,2.0,3.50437543702064
TR,NISSAN,X-Trail,X-Trail III 4x2,DIES,SUV,1 year old,1.0,2.6319984746083334
TR,DODGE,Avenger,Avenger,DIES,BERLINE,11 years and older,12.0,1.10181050270358
TR,PORSCHE,Cayenne,Cayenne,ESS,SUV,11 years and older,12.0,4.753688283178472
TR,SSANGYONG,Rodius,Rodius,DIES,MONOSPACE,11 years and older,12.0,1.3921679754672318
TR,DACIA,Sandero,Sandero II Stepway,ESS,BERLINE,2 years old,2.0,3.5070301193423425
TR,BMW,Serie 8,(G15) Coupé,DIES-MHEV,COUPE,2 years old,2.0,8.212920994102566
TR,DS,DS 7,DS 7 Crossback,DIES,SUV,Less than 1 year old,0.5,7.271317770512639
TR,SMART,Fortwo,EQ Fortwo,ELEC,COUPE,1 year old,1.0,3.9904477245221646
TR,SEAT,Tarraco,Tarraco 4x4,DIES,SUV,1 year old,1.0,5.196574897704638
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,1.399883095634128
TR,BMW,X4,X4 M Competition,ESS,SUV,3 to 5 years old,4.0,5.5003259275858944
TR,MINI,Mini,John Cooper Works Cabrio,ESS,CABRIOLET,2 years old,2.0,3.4908507977362806
TR,RENAULT,Master,Master III Z.E,ELEC,UTILITAIRE,3 to 5 years old,4.0,8.36292393570187
TR,JAGUAR,XF,XF (AWD),DIES,BERLINE,1 year old,1.0,3.916119144259956
TR,AUDI,Q5,Q5 Sportback Quattro,HR - ESS,SUV,2 years old,2.0,4.304638334483321
TR,RENAULT,Arkana,Arkana,HYB-ESS,SUV,1 year old,1.0,7.883125924296734
TR,RENAULT,Laguna,Laguna III Estate,DIES,BREAK,11 years and older,12.0,4.950311721139839
TR,MERCEDES,Classe GLK,GLK 200 CDI,DIES,SUV,11 years and older,12.0,8.633752411931335
TR,BMW,X2,X2 sDrive 20d,DIES,SUV,Less than 1 year old,0.5,0.6960449020313905
TR,MERCEDES,Classe B,B 180 CDI,DIES,MONOSPACE,6 to 10 years old,8.0,1.6108516323072941
TR,SUBARU,Forester,Forester e-Boxer,HYB-ESS,SUV,1 year old,1.0,0.6931471805599453
TR,HYUNDAI,Santa Fe,Santa Fe IV 4WD,DIES,SUV,3 to 5 years old,4.0,7.422498284736746
TR,TOYOTA,C-HR,C-HR 2WD,ESS,SUV,6 to 10 years old,8.0,6.652562990338507
TR,SKODA,Octavia,Octavia,ESS,BERLINE,1 year old,1.0,6.1025351555473595
TR,VAUXHALL,Astra,Astra J GTC,DIES,COUPE,6 to 10 years old,8.0,7.4597060148987655
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,4.1512929440728135
TR,OPEL,Astra,Astra K Sports Tourer,ESS,BREAK,2 years old,2.0,3.998251012161435
TR,MERCEDES,Citan,Citan Combi,DIES,MONOSPACE,Less than 1 year old,0.5,4.015074088898442
TR,MAZDA,5,5,ESS,MONOSPACE,6 to 10 years old,8.0,4.727974008536722
TR,MAZDA,3,3,ESS,BERLINE,6 to 10 years old,8.0,8.272952989534314
TR,AUDI,Q3,Q3 Sportback Quattro,ESS,SUV,1 year old,1.0,6.946589550656934
TR,VOLKSWAGEN,Eos,Eos,ESS,CABRIOLET,11 years and older,12.0,5.2681259341290785
TR,MINI,Countryman,Mini Cooper S Countryman,ESS,SUV,1 year old,1.0,1.3918005619593161
TR,PORSCHE,Cayman type 981,Cayman S,ESS,COUPE,6 to 10 years old,8.0,4.245156287924438
TR,HYUNDAI,Kona,Kona Ultimate,ESS,SUV,1 year old,1.0,1.381082866725437
TR,JEEP,Grand Cherokee,Grand Cherokee IV,DIES,SUV,3 to 5 years old,4.0,5.670662787564999
TR,HONDA,Accord,Accord Type S Tourer,DIES,BREAK,11 years and older,12.0,7.208690504207212
TR,JEEP,Patriot,Patriot Limited,ESS,SUV,3 to 5 years old,4.0,1.801217352037712
TR,MERCEDES,Citan,Citan Fourgon,DIES,UTILITAIRE,3 to 5 years old,4.0,6.857860792102371
TR,RENAULT,Zoe,Zoe,ELEC,BERLINE,2 years old,2.0,1.0747344498442226
TR,VOLVO,V60,V60 Cross Country,ESS,BREAK,3 to 5 years old,4.0,1.9817121098239596
TR,BMW,X6,X6 xDrive 50i,ESS,SUV,3 to 5 years old,4.0,3.768901862545789
TR,MERCEDES,CLA,CLA 200 D,DIES,BERLINE,2 years old,2.0,4.825496634895581
TR,VOLVO,XC60,XC60,HYB-ESS,SUV,2 years old,2.0,1.392750550751237
TR,MAZDA,6,6i Touring,ESS,BERLINE,6 to 10 years old,8.0,3.5259956962204524
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,4.7467841317610455
TR,MERCEDES,Classe GL,GL 450 CDI,DIES,SUV,11 years and older,12.0,6.399837350751124
TR,FORD,Mondeo,Mondeo V Vignale,ESS,BERLINE,6 to 10 years old,8.0,4.158405688630554
TR,MAZDA,6,6,DIES,BERLINE,Less than 1 year old,0.5,4.764693572999337
TR,VOLVO,S80,S80 AWD,ESS,BERLINE,11 years and older,12.0,6.142817189756928
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,2.045864547457833
TR,JEEP,Wrangler,Wrangler JK Sahara,ESS,SUV,2 years old,2.0,4.3659225535384225
TR,OPEL,Corsa,Corsa D,DIES,BERLINE,6 to 10 years old,8.0,7.092402536534762
TR,VOLKSWAGEN,New Beetle,New Beetle Cabriolet,DIES,CABRIOLET,11 years and older,12.0,1.6560453966229651
TR,FORD,Mondeo,Mondeo V,DIES,BERLINE,2 years old,2.0,9.435808309883301
TR,SKODA,Kodiaq,Kodiaq RS 4x4,DIES,SUV,1 year old,1.0,1.391768149001208
TR,AUDI,A7,A7 Sportback,DIES,BERLINE,6 to 10 years old,8.0,6.297190190697887
TR,AUDI,Q4,Q4 35 E-Tron,ELEC,SUV,1 year old,1.0,8.194419414058682
TR,TOYOTA,Land Cruiser,Land Cruiser Prado,DIES,4X4,6 to 10 years old,8.0,3.266090072323962
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,1.3835113284403684
TR,MERCEDES,Classe E,E 320 CDI,DIES,BERLINE,11 years and older,12.0,6.769752131039152
TR,BMW,Serie 1,(F40) Berline,ESS,BERLINE,2 years old,2.0,8.748778357997871
TR,DS,DS 7,DS 7 Crossback,ESS,SUV,Less than 1 year old,0.5,4.7138160691242765
TR,NISSAN,Interstar,"Interstar 3,3t",DIES,UTILITAIRE,Less than 1 year old,0.5,0.6931471805599453
TR,CHEVROLET,Trax,Trax LS,ESS,SUV,6 to 10 years old,8.0,8.028098719304868
TR,BMW,Serie 7,(F01/F02) Berline,ESS,BERLINE,6 to 10 years old,8.0,5.465820798758245
TR,BMW,X2,X2 xDrive20i,ESS,SUV,1 year old,1.0,8.398663486995755
TR,HYUNDAI,Tucson,Tucson IV,ESS-MHEV,SUV,3 to 5 years old,4.0,0.6931471805599453
TR,TOYOTA,RAV4,RAV4 Hybrid,HYB-ESS,SUV,6 to 10 years old,8.0,1.1028306630776248
TR,MAZDA,6,6 Grand Touring Reserve,ESS,BERLINE,2 years old,2.0,3.904534496431434
TR,KIA,Rio,Rio,ESS,BERLINE,2 years old,2.0,4.472913166485826
TR,RENAULT,Clio,Clio III RS Ange et Demon,ESS,BERLINE,11 years and older,12.0,5.273466504564967
TR,BMW,X5,X5 xDrive35d,DIES,SUV,6 to 10 years old,8.0,4.065128896583464
TR,JAGUAR,XK,XK Cabriolet,ESS,CABRIOLET,11 years and older,12.0,7.805079108179635
TR,SEAT,Exeo,Exeo ST,ESS,BREAK,11 years and older,12.0,10.402006322939462
TR,AUDI,A7,S7 Sportback,DIES-MHEV,BERLINE,2 years old,2.0,4.1281741992250565
TR,MERCEDES,Sprinter,Sprinter II 511 CDI 5t,DIES,UTILITAIRE,11 years and older,12.0,5.601427649585656
TR,MAZDA,3,3,ESS,BERLINE,11 years and older,12.0,8.595925705817624
TR,VOLKSWAGEN,Arteon,Arteon Shooting Brake,DIES,BREAK,3 to 5 years old,4.0,5.968893958696473
TR,KIA,Cee'd,Pro Cee'd,ESS,BERLINE,11 years and older,12.0,3.9230959282883875
TR,CITROEN,C5,C5 II CrossTourer,DIES,BREAK,11 years and older,12.0,8.17009556280403
