country_iso,car_maker_name,car_segment_name,car_type_name,energy,body_style,code_age,age_years,log_total_vehicles
TR,MAZDA,6,33S13V,ESS,BERLINE,11 years and older,12.0,1.9568943620943433
TR,MERCEDES,Classe C,6 Sport,ESS,BERLINE,6 to 10 years old,8.0,2.2511834171080043
TR,MAZDA,CX-9,Logan II MCV,ESS,BERLINE,3 to 5 years old,4.0,7.414083549498068
TR,MAZDA,Camry,Caravelle 4Motion,ESS,BERLINE,6 to 10 years old,8.0,1.7587099967108548
TR,MERCEDES,Classe C,Transporter 4Motion (T6),DIES,UTILITAIRE,6 to 10 years old,8.0,2.928506767662817
TR,HYUNDAI,GLA,E 450 4Matic Coupé,ESS,BERLINE,2 years old,2.0,5.77423727910512
TR,SKODA,Octavia,Kodiaq 4x2,ESS,BREAK,2 years old,2.0,2.47588265913464
TR,AUDI,QX70,695 Tributo Ferrari,ESS,BERLINE,3 to 5 years old,4.0,0.7060177787871146
TR,RENAULT,Yaris,Scenic Xmod,DIES,COUPE,6 to 10 years old,8.0,7.418333263428976
TR,SKODA,Transit Courier,Arteon 4Motion,ESS,SUV,3 to 5 years old,4.0,4.092479750168439
TR,AUDI,A6,Corsa E,ESS,BERLINE,3 to 5 years old,4.0,0.7016495149793648
TR,HONDA,Townstar,Mini Cooper Countryman,ESS,BERLINE,3 to 5 years old,4.0,8.019361019635118
TR,MAZDA,Commander,3 Berline,ESS,BERLINE,3 to 5 years old,4.0,2.36771188255157
TR,DACIA,Logan,Fortwo Cabrio Brabus,DIES,UTILITAIRE,6 to 10 years old,8.0,7.207198311836646
TR,AUDI,A5,Q30,ESS-MHEV,BREAK,Less than 1 year old,0.5,8.621926553218996
TR,MERCEDES,Classe A,Arona,DIES,BERLINE,6 to 10 years old,8.0,4.691289459740585
TR,HONDA,Serie 7,C3 II,ESS,BERLINE,11 years and older,12.0,0.6931471805599453
TR,AUDI,A3,Boxer 2t900 4X4,ESS-MHEV,BERLINE,Less than 1 year old,0.5,0.752692469044186
TR,AUDI,Q3,X-Trail II,DIES-MHEV,SUV,Less than 1 year old,0.5,3.029021436009365
TR,MERCEDES,Classe E,EQE 43 4Matic,DIES,BREAK,11 years and older,12.0,6.884469721796313
TR,VOLKSWAGEN,Wind,Berlingo II V.U,ESS,BERLINE,11 years and older,12.0,2.5789309351517793
TR,JAGUAR,Symbol,TT Roadster Quattro,DIES,MONOSPACE,3 to 5 years old,4.0,3.0595899674089995
TR,MAZDA,Panamera,RAV4 IV (2WD),ESS,BERLINE,11 years and older,12.0,4.25745616441047
TR,RENAULT,Megane,C 200 Cabriolet,ETH,BREAK,2 years old,2.0,6.439251574608494
TR,PEUGEOT,Grandland X,Corvette C7 Stingray,DIES,MONOSPACE,6 to 10 years old,8.0,7.410916074561378
TR,AUDI,A5,Wrangler JK Rubicon,ESS-MHEV,CABRIOLET,3 to 5 years old,4.0,0.7123015685435329
TR,AUDI,A6,Eletre,ESS,COUPE,Less than 1 year old,0.5,0.7113912478924144
TR,FORD,2008,Talento,DIES,UTILITAIRE,1 year old,1.0,3.880993530687288
TR,RENAULT,Clio,B 220 d,ESS,BERLINE,11 years and older,12.0,1.9299090817039901
TR,ACURA,Cabstar,Cayman,ESS,SUV,11 years and older,12.0,7.451686812723214
TR,CITROEN,F-Type,Caravelle,DIES,COUPE,2 years old,2.0,3.119551668474469
TR,NISSAN,Daily VI,Grand Kangoo III,DIES,UTILITAIRE,1 year old,1.0,2.573783175829869
TR,AUDI,A4,35C21V,DIES,BERLINE,Less than 1 year old,0.5,6.2580680522522805
TR,CHEVROLET,GLC,Altea Freetrack,ESS,COUPE,11 years and older,12.0,0.70897455754163
TR,OPEL,Astra,Yaris GR Sport,ESS,BERLINE,11 years and older,12.0,3.1048799434986782
TR,MERCEDES,Classe E,NP300,DIES,SUV,3 to 5 years old,4.0,4.735817191022887
TR,BMW,Crossland X,Grand Cherokee IV,ESS,BERLINE,2 years old,2.0,6.1388047421653
TR,JAGUAR,Voyager,E-C4 X,DIES,MONOSPACE,11 years and older,12.0,3.088108060736772
TR,FORD,Master,Ateca,ESS,UTILITAIRE,11 years and older,12.0,7.1553639712958335
TR,SKODA,Auris,Megane IV RS Trophy,DIES,BERLINE,11 years and older,12.0,7.200181600447795
TR,MAZDA,Fiesta,Logan II MCV,DIES,SUV,3 to 5 years old,4.0,5.422627108301439
TR,BMW,GLB,XV,DIES,SUV,6 to 10 years old,8.0,7.328078797202767
TR,AUDI,A5,Q50 2.0t Pure,ESS-MHEV,COUPE,Less than 1 year old,0.5,3.045634621820318
TR,MERCEDES,F-Type,159 Q4,ESS,BERLINE,2 years old,2.0,2.025620962855797
TR,FORD,Jumpy,Jumper 2t800,ELEC,UTILITAIRE,1 year old,1.0,3.29812202612772
TR,JAGUAR,Meriva,Bipper,ESS,BERLINE,11 years and older,12.0,1.9229495593884995
TR,RENAULT,Megane,Rapid,ETH,BERLINE,11 years and older,12.0,3.937710132704676
TR,MAZDA,6,Trafic II (Charge Utile:1000Kg),ESS,SUV,1 year old,1.0,2.5405359622068993
TR,SUBARU,Legacy Outback,Defender 110,DIES,PICKUP,6 to 10 years old,8.0,3.8119012894037927
TR,MERCEDES,Porter,e-Expert,ESS,COUPE,3 to 5 years old,4.0,2.3982895391297294
TR,ASTON MARTIN,CX-7,Megane IV Estate,ESS,BERLINE,11 years and older,12.0,0.6931471805599453
TR,MAZDA,Polo,35C18V,ESS,BERLINE,11 years and older,12.0,5.629227498130097
TR,MERCEDES,Camry,(G32) Gran Turismo,ESS,BERLINE,11 years and older,12.0,6.248490880503546
TR,BMW,Serie 2,Avensis Break,ESS,SUV,Less than 1 year old,0.5,3.123806340036623
TR,SKODA,Octavia,Transit 2T,ESS,BERLINE,1 year old,1.0,2.765047148487047
TR,RENAULT,Megane,Polo VI,LPG,BREAK,3 to 5 years old,4.0,4.0761345580476105
TR,TOYOTA,911 type 996,XC60 AWD,DIES,SUV,11 years and older,12.0,7.405958693274324
TR,SEAT,Kodiaq,X4 xDrive 30i,ESS,BERLINE,2 years old,2.0,6.262671408097243
TR,VOLKSWAGEN,California,Insignia Sport Tourer 4x4,DIES,MOTORHOME,11 years and older,12.0,6.6706110008844774
TR,AUDI,Corolla,XC70 II,ESS,BREAK,6 to 10 years old,8.0,2.888232460946838
TR,AUDI,A6,E 250 Bluetec Coupé,ESS-MHEV,BERLINE,Less than 1 year old,0.5,2.9498707420901367
TR,PORSCHE,911 type 991,Huracan Evo,ESS,COUPE,11 years and older,12.0,1.5922621926162353
TR,ACURA,Cabstar,Kuga II 4X2,ESS,SUV,11 years and older,12.0,6.356282037594033
TR,SAAB,09-May,Superb Combi 4x4,ESS,BERLINE,11 years and older,12.0,5.92828532206085
TR,BMW,C3,Seal,ESS,BERLINE,2 years old,2.0,5.76502705502583
TR,CHEVROLET,Matrix,JCW Countryman All 4,ESS,SUV,1 year old,1.0,2.958429447936404
TR,VOLKSWAGEN,Range Rover Sport,JCW Countryman All 4,DIES,4X4,11 years and older,12.0,1.2411515177733572
TR,MERCEDES,Vito,Phantom Extended Wheelbase,DIES,UTILITAIRE,11 years and older,12.0,6.750100130172912
TR,RENAULT,Megane,Fiorino III Combi,ETH,MONOSPACE,6 to 10 years old,8.0,6.342832228597305
TR,CITROEN,C3,Grandis,HYB-ESS,BERLINE,2 years old,2.0,5.14682264182525
TR,ABARTH,A5,XK Cabriolet,ESS,CABRIOLET,11 years and older,12.0,1.0722286957872553
TR,SKODA,Crossland,Bipper,ESS,BERLINE,11 years and older,12.0,0.719737169389663
TR,BMW,Serie 7,Panamera Turbo S,ESS,BERLINE,2 years old,2.0,6.042055639106212
TR,MAZDA,Evalia,Santa Fe III 4WD,ESS,BERLINE,11 years and older,12.0,1.8665181126936063
TR,OPEL,Polo,S 65 Coupé,ESS,BERLINE,Less than 1 year old,0.5,6.932447416862371
TR,AUDI,A5,Cabrio,DIES-MHEV,BERLINE,Less than 1 year old,0.5,1.8605158784946592
TR,FIAT,Ducato,Kuga 4X2,CNG,UTILITAIRE,2 years old,2.0,3.4420218837823278
TR,MG ROVER,Fluence,Octavia,ESS,BREAK,11 years and older,12.0,0.6931471805599453
TR,BMW,XC40,Ghost Extended Wheelbase,ESS,BERLINE,3 to 5 years old,4.0,1.9811413107993068
TR,SKODA,Yaris,107,ESS,BERLINE,1 year old,1.0,4.733891281786366
TR,MERCEDES,Classe C,E 220 CDI Coupé,ESS,SUV,1 year old,1.0,4.979348397578377
TR,MERCEDES,Classe S,EQE 350 4Matic,ESS,COUPE,11 years and older,12.0,0.6931471805599453
TR,RENAULT,Megane,Insignia II Grand Sport 4x4,ETH,BERLINE,11 years and older,12.0,5.931213155652177
TR,TOYOTA,Panamera,E 400,ESS,BERLINE,Less than 1 year old,0.5,1.904693500250034
TR,ALFA ROMEO,Magentis,A4 Avant,DIES,SUV,11 years and older,12.0,6.202552360560143
TR,CITROEN,Berlingo,Amarok,DIES,UTILITAIRE,11 years and older,12.0,5.95553774991541
TR,HYUNDAI,Clio,E-C4 X,ESS,BERLINE,2 years old,2.0,6.517251565234957
TR,SKODA,Kodiaq,(G12) Berline,ESS,SUV,6 to 10 years old,8.0,7.726847407670212
TR,INFINITI,CC,A3 Limousine,ESS,BERLINE,11 years and older,12.0,6.4728427434030555
TR,MERCEDES,GLB,Juke AWD,DIES,UTILITAIRE,11 years and older,12.0,2.070575162186418
TR,SKODA,Octavia,V60 AWD,DIES,UTILITAIRE,11 years and older,12.0,6.875895514826362
TR,RENAULT,F-Pace,Mustang,DIES,BREAK,6 to 10 years old,8.0,1.9834750565450527
TR,SUZUKI,Astra,Swift,ESS,BERLINE,11 years and older,12.0,6.352329998350534
TR,CITROEN,Optima,(F22) Coupé,DIES,SUV,6 to 10 years old,8.0,6.916295197010434
TR,RENAULT,Megane,Fiorino III Combi,ETH,UTILITAIRE,Less than 1 year old,0.5,6.3049657582321315
TR,SUZUKI,PT Cruiser,X4 xDrive 20d,DIES,BERLINE,6 to 10 years old,8.0,2.985940079746969
TR,FORD,V90,Sportage IV,HYB-ESS,SUV,11 years and older,12.0,6.3306063747936
TR,MAZDA,124 Spider,C5 X,ESS,SUV,11 years and older,12.0,5.990456192574232
TR,MAZDA,CX-9,Golf VIII,ESS,BERLINE,6 to 10 years old,8.0,5.807600046473288
TR,BMW,Panamera,3 Berline,DIES,COUPE,3 to 5 years old,4.0,7.429363711722241
TR,SKODA,Kodiaq,X1 sDrive20d,ESS,BERLINE,1 year old,1.0,6.926641100026701
TR,VOLKSWAGEN,Grandland X,Superb III,DIES,MONOSPACE,3 to 5 years old,4.0,8.82407481817612
TR,NISSAN,Kona,Sprinter II 513 CDI 5t,ELEC,SUV,1 year old,1.0,3.2152279482370996
TR,FORD,Ioniq,Panamera Turbo S,ESS,BERLINE,2 years old,2.0,3.501816636578619
